ts,addr,coin,szi,entryPx,liqPx,mark,dist_to_liq,uPnl,lev,acct_value
2026-07-13T12:01:50Z,0xa70ac79d24b8ea7dc8899d6c2df26488130b4be9,LINK,-20.9,13.78964,30950.9279508772,7.9353,3899.4106,122.337019,10,743045
2026-07-13T12:01:50Z,0xa70ac79d24b8ea7dc8899d6c2df26488130b4be9,ENA,-4419.0,0.559505,146.4265497533,0.079255,1846.5371,2122.057659,10,743045
2026-07-13T12:01:50Z,0xa70ac79d24b8ea7dc8899d6c2df26488130b4be9,HYPE,-141.79,67.0469,4626.0285916731,64.998,70.1719,290.521057,3,743045
2026-07-13T12:01:50Z,0xa70ac79d24b8ea7dc8899d6c2df26488130b4be9,FARTCOIN,-7194.5,1.17801,90.0316442654,0.14232,631.6001,7451.107065,10,743045
2026-07-13T12:01:50Z,0xa70ac79d24b8ea7dc8899d6c2df26488130b4be9,TRUMP,625.7,17.94315,,1.5492,,-10257.324054,10,743045
2026-07-13T12:01:50Z,0xa70ac79d24b8ea7dc8899d6c2df26488130b4be9,MELANIA,24110.0,0.71604,,0.08108,,-15308.090265,3,743045
2026-07-13T12:01:50Z,0xa70ac79d24b8ea7dc8899d6c2df26488130b4be9,BERA,-2058.0,5.79701,300.1470030952,0.18934,1584.2276,11540.40386,5,743045
2026-07-13T12:01:50Z,0xa70ac79d24b8ea7dc8899d6c2df26488130b4be9,PAXG,-0.885,4513.991,734798.798975518,4054.7,180.2215,406.473,10,743045
2026-07-13T12:01:50Z,0xa70ac79d24b8ea7dc8899d6c2df26488130b4be9,XPL,18694.0,0.388611,,0.090646,,-5569.92835,10,743045
2026-07-13T12:01:50Z,0xa70ac79d24b8ea7dc8899d6c2df26488130b4be9,ASTER,-4815.0,0.916643,128.8278951983,0.62168,206.2254,1420.0065,3,743045
2026-07-13T12:01:50Z,0xa70ac79d24b8ea7dc8899d6c2df26488130b4be9,MON,-52960.0,0.025623,11.6783732959,0.022162,525.9548,183.02976,3,743045
2026-07-13T12:01:50Z,0x5323b92268b4e140ac2133c677e991cd9ad1b23c,SOL,18184.45,76.2981,,76.296,,305.734771,5,6606784
2026-07-13T12:01:50Z,0x5323b92268b4e140ac2133c677e991cd9ad1b23c,BNB,448.786,569.289,,569.15,,-48.92349,5,6606784
2026-07-13T12:01:50Z,0x5323b92268b4e140ac2133c677e991cd9ad1b23c,HYPE,-50666.39,65.2759,184.8977747206,64.998,1.8447,14081.11358,5,6606784
